timestamp x y z vx vy vz x1 y1 z1 vx1 vy1 vz1 x2 y2 z2 vx2 vy2 vz2 x3 y3 z3 vx3 vy3 vz3 dLx dLy dLz taux tauy tauz margin x_sp y_sp z_sp vx_sp vy_sp vz_sp q_sp1x q_sp1y q_sp1z q_sp2x q_sp2y q_sp2z q_sp3x q_sp3y q_sp3z 
83004016 -1.77712 -0.200162 -0.0328097 -0.00370502 -0.00976861 -0.00922635 -0.6477 -0.154161 -0.1781 0.00788927 -0.0163668 -0.0233763 -2.2978 0.841062 -0.165381 -0.00386238 0.0011301 -0.00750482 -2.29444 -1.17301 -0.174461 -0.0036335 -0.00806808 -0.00577033 0.321978 -0.446386 -4.88773 -6.20417 -6.87236 -7 0.00454867 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83054022 -1.77709 -0.200103 -0.0326925 0.000214577 0.00236928 0.000499785 -0.647674 -0.154164 -0.178073 0.0163364 -0.0165153 -0.0227416 -2.2978 0.84105 -0.165375 -0.0102997 -0.00911236 -0.00713646 -2.29442 -1.17306 -0.174431 -0.00432014 -0.00964165 -0.00113904 0.327946 -0.428165 -4.87303 -6.19924 -6.85784 -7 -0.00294166 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83104040 -1.77709 -0.200088 -0.032731 0.011301 -0.00152886 -0.0081642 -0.647664 -0.154182 -0.17806 -0.000700951 0.00634611 0.00252485 -2.29781 0.841102 -0.165402 -0.0114155 -0.00033617 -0.00949323 -2.29442 -1.17299 -0.174418 -0.000457764 0.00263214 0.0082469 0.345336 -0.434398 -4.88504 -6.19113 -6.8639 -7 0.00184808 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83154066 -1.77711 -0.200082 -0.0327024 -0.00301838 0.00270009 -0.000469387 -0.647692 -0.154165 -0.1781 0.00634432 0.00200093 0.00012517 -2.29768 0.841106 -0.165329 0.0132751 -0.000107288 0.00735462 -2.29441 -1.173 -0.174464 0.00626564 -0.00579357 0.0077945 0.323846 -0.42804 -4.87389 -6.20034 -6.85745 -7 -0.0024553 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83204101 -1.77708 -0.200103 -0.0326947 0.000500679 -0.00234962 0.00449046 -0.647655 -0.154225 -0.178042 -0.00271797 0.00748336 -0.000738502 -2.29771 0.841097 -0.165302 -0.0033474 0.00223875 -0.00299335 -2.2945 -1.17299 -0.174538 -0.0164795 0.00190258 -0.0124186 0.329165 -0.435798 -4.86592 -6.20051 -6.86136 -7 -0.00580016 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83254012 -1.77709 -0.200079 -0.0327295 0.00766754 -0.000593662 -0.00466079 -0.647652 -0.154208 -0.178028 -0.00245333 0.00178456 0.00327408 -2.29779 0.841069 -0.165377 -0.000429153 -0.00268936 -0.000159144 -2.29439 -1.17297 -0.174423 0.00781059 -0.00429153 3.57628e-06 0.339955 -0.433166 -4.87998 -6.19455 -6.86149 -7 -0.000605895 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83304032 -1.77709 -0.200082 -0.0327333 0.00340462 0.0128818 0.00617847 -0.647817 -0.154011 -0.177869 -0.0306845 0.0378853 0.0235122 -2.29777 0.841053 -0.165387 -0.00921249 -0.00531435 -0.00566125 -2.29442 -1.17296 -0.174386 0.00400543 0.00975609 0.00582933 0.333492 -0.4128 -4.8647 -6.19247 -6.84777 -7 -0.0107025 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83354036 -1.77693 -0.200171 -0.0326883 0.0145197 -0.0120234 0.00454098 -0.647772 -0.154035 -0.177896 0.00239611 0.000827909 -0.000620484 -2.29766 0.841108 -0.165315 0.00340462 -0.000422001 0.000702739 -2.29442 -1.17303 -0.174457 -0.00609398 0.00163078 -0.00753343 0.350044 -0.450159 -4.8671 -6.19369 -6.86802 -7 -0.00631177 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83404037 -1.77712 -0.200108 -0.0327306 -0.00198841 0.00226557 -0.00365764 -0.64778 -0.154099 -0.177892 -0.00806808 0.00757456 0.00152528 -2.2977 0.841105 -0.165316 0.0122738 -0.000815392 0.0079751 -2.29443 -1.17304 -0.174444 -0.00849724 -0.00101566 -0.00212967 0.324981 -0.428866 -4.8812 -6.19956 -6.85753 -7 -0.000728622 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83454073 -1.77707 -0.200105 -0.032696 0.000658035 -0.000286102 0.00125393 -0.64764 -0.154244 -0.178085 0.00388384 -0.00884056 -0.00176489 -2.29769 0.841098 -0.165316 0.011673 0.0033617 0.00619411 -2.29446 -1.17304 -0.174426 -0.00437737 -0.00248909 0.00557005 0.328511 -0.432318 -4.87493 -6.1997 -6.86015 -7 -0.00208601 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83504046 -1.77709 -0.200096 -0.032733 -0.000915527 -0.000638366 0.000181049 -0.64766 -0.154233 -0.178033 -0.00588655 0.00288427 0.000584722 -2.29769 0.841103 -0.165321 0.00775337 0.00303268 0.00799835 -2.29441 -1.17307 -0.174455 -0.000514984 -0.00775337 -0.00814855 0.32613 -0.432869 -4.8766 -6.20058 -6.86066 -7 -0.00180274 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83554047 -1.77709 -0.200079 -0.0327219 0.00145912 0.00349045 -0.00493392 -0.64763 -0.154306 -0.178037 0.0135112 -0.0263232 -0.0178045 -2.29769 0.841114 -0.165312 0.00414848 0.000407696 0.00143766 -2.29437 -1.17299 -0.174417 0.0064373 0.0033617 0.00132501 0.329619 -0.426625 -4.88462 -6.1968 -6.85935 -7 0.00140319 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83604126 -1.77709 -0.200078 -0.0327025 -0.0575638 0.0314498 -0.0100686 -0.647642 -0.154235 -0.178049 0.00279665 -0.00238001 -0.00140369 -2.2978 0.841079 -0.165372 -0.00969887 -0.00310421 -0.00919104 -2.29443 -1.173 -0.174433 0.00240326 0.00115871 -0.00238359 0.241051 -0.384636 -4.8926 -6.23034 -6.83783 -7 0.00753114 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83654121 -1.77708 -0.200109 -0.0327007 0.0014019 0.00058651 -0.000629425 -0.647602 -0.154307 -0.178031 -0.0102925 -0.0143927 -0.00843108 -2.2978 0.841086 -0.165372 -0.000114441 -0.000464916 -0.000139475 -2.29439 -1.173 -0.174411 0.00595093 0.00440598 0.00357449 0.329641 -0.431193 -4.8781 -6.19941 -6.86056 -7 -0.000672397 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83704134 -1.7771 -0.200113 -0.0326729 0.00247478 0.00926793 0.0123288 -0.647671 -0.154183 -0.178029 -0.00843287 0.0120646 0.00284314 -2.29768 0.841099 -0.165314 0.00346184 -0.00166655 5.54323e-05 -2.29437 -1.17303 -0.174388 0.00806808 -0.0033474 0.00533581 0.333189 -0.419643 -4.85716 -6.19371 -6.85212 -7 -0.0123888 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83754132 -1.77659 -0.200242 -0.0325126 0.0655031 -0.00920355 0.0364669 -0.647784 -0.154116 -0.177858 -0.0179243 0.0224179 0.0226486 -2.2977 0.841113 -0.16532 0.000743866 0.00108004 0.000130534 -2.29443 -1.17305 -0.17446 -0.000629425 -0.00257492 -0.000609756 0.42808 -0.447513 -4.8209 -6.15891 -6.86533 -7 -0.0305146 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83804154 -1.77709 -0.200089 -0.0327296 0.000629425 0.000366569 -0.000164062 -0.647641 -0.154236 -0.178062 0.0145411 -0.0181407 -0.0222766 -2.29773 0.841117 -0.165303 0.00678062 0.00413418 0.00885844 -2.29444 -1.17302 -0.174457 -0.00423431 -0.00201702 -0.0056684 0.330436 -0.433218 -4.87815 -6.19894 -6.86099 -7 -0.0011071 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
83854135 -1.77659 -0.200264 -0.0325653 0.0565481 -0.0178403 0.0170374 -0.647604 -0.154302 -0.178064 -0.0132751 -0.0169891 -0.0161183 -2.29772 0.841125 -0.165309 -0.00123024 0.00443459 0.00193119 -2.29436 -1.17302 -0.174414 0.0064373 -0.0107145 -0.00140727 0.412575 -0.46003 -4.85794 -6.16916 -6.87517 -7 -0.010444 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
